"symbol","count","col2_sum"
"1","12S ribosomal RNA",1,1
"2","16S ribosomal RNA",1,5
"3","ATP6",1,3
"4","ATP8",1,2
"5","COX1",1,5
"6","COX2",1,3
"7","COX3",1,3
"8","CYTB",1,6
"9","ND1",1,6
"10","ND2",1,8
"11","ND3",1,2
"12","ND4",1,5
"13","ND4L",1,4
"14","ND5",1,5
"15","ND6",1,4
"16","tRNA-Ala",1,1
"17","tRNA-Arg",1,1
"18","tRNA-Asn",1,1
"19","tRNA-Asp",1,1
"20","tRNA-Cys",1,3
"21","tRNA-Glu",1,1
"22","tRNA-Gly",1,2
"23","tRNA-His",1,2
"24","tRNA-Leu",3,7
"25","tRNA-Lys",1,1
"26","tRNA-Met",1,2
"27","tRNA-Phe",1,1
"28","tRNA-Pro",1,2
"29","tRNA-Ser",2,4
"30","tRNA-Thr",1,2
"31","tRNA-Trp",1,3
"32","tRNA-Tyr",1,3
"33","tRNA-Val",1,1
