"group","mt_matchLen","sampleID"
"WGS_017_E20_F03.1","(0,50]",2,"WGS_017_E20_F03"
"WGS_017_E20_F03.2","(50,100]",3,"WGS_017_E20_F03"
"WGS_017_E20_F03.3","(100,150]",2,"WGS_017_E20_F03"
"WGS_017_E20_F03.4","(150,200]",3,"WGS_017_E20_F03"
"WGS_017_E20_F03.5","(200,250]",1,"WGS_017_E20_F03"
"WGS_017_E20_F03.6","(300,350]",3,"WGS_017_E20_F03"
"WGS_017_E20_F03.7","(350,400]",3,"WGS_017_E20_F03"
"WGS_017_E20_F03.8","(450,500]",1,"WGS_017_E20_F03"
"WGS_017_E20_F03.9","(500,550]",1,"WGS_017_E20_F03"
"WGS_017_E20_F03.10","(700,750]",1,"WGS_017_E20_F03"
"WGS_017_E20_F03.11","(800,850]",1,"WGS_017_E20_F03"
"WGS_017_E20_F03.12","(1100,1150]",1,"WGS_017_E20_F03"
"WGS_017_E20_F03.13","(1650,1700]",1,"WGS_017_E20_F03"
"WGS_017_E20_F03.14","(1850,1900]",1,"WGS_017_E20_F03"
"WGS_021_E20_F02.1","(0,50]",4,"WGS_021_E20_F02"
"WGS_021_E20_F02.2","(50,100]",3,"WGS_021_E20_F02"
"WGS_021_E20_F02.3","(100,150]",5,"WGS_021_E20_F02"
"WGS_021_E20_F02.4","(150,200]",4,"WGS_021_E20_F02"
"WGS_021_E20_F02.5","(200,250]",3,"WGS_021_E20_F02"
"WGS_021_E20_F02.6","(250,300]",1,"WGS_021_E20_F02"
"WGS_021_E20_F02.7","(400,450]",1,"WGS_021_E20_F02"
"WGS_021_E20_F02.8","(600,650]",1,"WGS_021_E20_F02"
"WGS_024_E20_F02.1","(0,50]",5,"WGS_024_E20_F02"
"WGS_024_E20_F02.2","(50,100]",4,"WGS_024_E20_F02"
"WGS_024_E20_F02.3","(100,150]",4,"WGS_024_E20_F02"
"WGS_024_E20_F02.4","(150,200]",4,"WGS_024_E20_F02"
"WGS_024_E20_F02.5","(200,250]",3,"WGS_024_E20_F02"
"WGS_024_E20_F02.6","(250,300]",3,"WGS_024_E20_F02"
"WGS_024_E20_F02.7","(300,350]",3,"WGS_024_E20_F02"
"WGS_024_E20_F02.8","(400,450]",1,"WGS_024_E20_F02"
"WGS_024_E20_F02.9","(550,600]",1,"WGS_024_E20_F02"
"WGS_024_E20_F02.10","(650,700]",1,"WGS_024_E20_F02"
"WGS_024_E20_F02.11","(700,750]",1,"WGS_024_E20_F02"
"WGS_024_E20_F02.12","(850,900]",1,"WGS_024_E20_F02"
"WGS_024_E20_F02.13","(900,950]",1,"WGS_024_E20_F02"
"WGS_024_E20_F02.14","(950,1000]",1,"WGS_024_E20_F02"
"WGS_024_E20_F02.15","(1050,1100]",1,"WGS_024_E20_F02"
